session_id,correct
20090312431273200_q1,1
20090312433251036_q1,0
20090312455206810_q1,1
20090313091715820_q1,0
20090313571836404_q1,1
20090314035813970_q1,1
20090314121766812_q1,1
20090314221187252_q1,0
20090314363702160_q1,1
20090314441803444_q1,1
20090315081004164_q1,0
20090315085850788_q1,1
20090315101457836_q1,1
20090315170769824_q1,1
20090315270479452_q1,0
20090316152177500_q1,1
20090316190523732_q1,1
20090317080721164_q1,0
20090317111400710_q1,1
20090317414400068_q1,1
20090318021527530_q1,0
20090318322359292_q1,1
20090318541618010_q1,1
20090319012741024_q1,0
20090320140443148_q1,0
20100000291486630_q1,0
20100000404860470_q1,1
20100006432365430_q1,0
20100007011166932_q1,1
20100007445515820_q1,0
20100008103581056_q1,1
20100008262217530_q1,1
20100008572266050_q1,0
20100009003806170_q1,1
20100009303098716_q1,0
20100009314461780_q1,1
20100009385330468_q1,1
20100009560590796_q1,0
20100010540710908_q1,1
20100010554738616_q1,0
20100011003256550_q1,1
20100011033647636_q1,1
20100011050028640_q1,1
20100011274731204_q1,1
20100011290663880_q1,0
20100011394713344_q1,1
20100011571871700_q1,1
20100012014517956_q1,1
20100012035069724_q1,1
20100012363755750_q1,1
20100012471966900_q1,0
20100012492111156_q1,0
20100012495345730_q1,0
20100012523954740_q1,0
20100012540000424_q1,1
20100012562027690_q1,0
20100013054800856_q1,0
20100013062325450_q1,1
20100013123715416_q1,1
20100013473331852_q1,1
20100013511751244_q1,1
20100014024611770_q1,1
20100014035994700_q1,1
20100014151142000_q1,1
20100014154454230_q1,1
20100014211946468_q1,1
20100014511488036_q1,1
20100015040218188_q1,1
20100015125877780_q1,1
20100015283382064_q1,1
20100015580955656_q1,1
20100015595709668_q1,1
20100016032214516_q1,1
20100016060832892_q1,0
20100016070249504_q1,1
20100016190952620_q1,0
20100016263918300_q1,1
20100016265132170_q1,1
20100017041691464_q1,1
20100017174504320_q1,0
20100017221780384_q1,0
20100017254481760_q1,0
20100017263056424_q1,1
20100017310338576_q1,1
20100018164106616_q1,1
20100018271998800_q1,1
20100018303409816_q1,1
20100018421509572_q1,0
20100019111032050_q1,1
20100019210476400_q1,1
20100019232709284_q1,1
20100019573083920_q1,1
20100020002294336_q1,0
20100020040089776_q1,1
20100020122406090_q1,1
20100020201084828_q1,1
20100020201560770_q1,1
20100020512263948_q1,1
20100021100648030_q1,1
20100022495909980_q1,1
20100023124078624_q1,0
20100023464644676_q1,1
20100106475056520_q1,0
20100107064152736_q1,1
20100107145631690_q1,1
20100107482652664_q1,1
20100107485528388_q1,0
20100107574055690_q1,1
20100108074945404_q1,0
20100108173056344_q1,1
20100108204085468_q1,0
20100108233796816_q1,1
20100108361406030_q1,1
20100108383025864_q1,1
20100108394183868_q1,1
20100108401566970_q1,0
20100108432199556_q1,1
20100108440880468_q1,1
20100108444190744_q1,1
20100108470637852_q1,0
20100108492847064_q1,1
20100108495321150_q1,1
20100108534216284_q1,1
20100108555032970_q1,1
20100108562170828_q1,1
20100108574283104_q1,1
20100108581646460_q1,1
20100108591155856_q1,1
20100109004299012_q1,1
20100109034836400_q1,1
20100109102870652_q1,1
20100109151447104_q1,0
20100109162353624_q1,1
20100109172665050_q1,1
20100109184696350_q1,0
20100109251233292_q1,1
20100109284899504_q1,1
20100109301649708_q1,1
20100109343643120_q1,1
20100109380136844_q1,0
20100109431710736_q1,0
20100109441471076_q1,0
20100109452581744_q1,0
20100109470804544_q1,0
20100109514699030_q1,0
20100109594661570_q1,1
20100109595390890_q1,1
20100110025276096_q1,1
20100110044069460_q1,0
20100110073981440_q1,1
20100110082132976_q1,0
20100110093663916_q1,0
20100110125009530_q1,0
20100110144313116_q1,1
20100110164955216_q1,1
20100110165348344_q1,1
20100110175762076_q1,1
20100110182910332_q1,1
20100110184862076_q1,0
20100110185256384_q1,1
20100110203815060_q1,1
20100110204440016_q1,0
20100110240923344_q1,1
20100110244127932_q1,1
20100110282243428_q1,0